entity_type,dict_key,mention_count,row_count,sources,canonical_names
PN,ku-zi-zi-a,45,31,lexicon; onomasticon,Kuzizia; Kuziziā
PN,puzur4.ištar,45,39,lexicon; onomasticon,Puzur-Ištar
PN,e-lá-li,44,41,lexicon; onomasticon,Elāli
PN,e-lá-lí,44,41,lexicon; onomasticon,Elāli
PN,šál-ma-a-šùr,43,30,lexicon; onomasticon,Šalim-Aššur
PN,a-lu-wa,43,31,lexicon; onomasticon,Alua
PN,ša-lim-a-šùr-ma,42,32,lexicon; onomasticon,Šalim-Aššur
PN,a-šùr-sipa,42,37,lexicon,Aššur-rē'ī
PN,ì-lí-dan,41,31,lexicon; onomasticon,Ilī-dān
PN,ištar-lá-ma-sí,41,31,lexicon; onomasticon,Ištar-lamassī
PN,i-sú-rik13,41,28,lexicon; onomasticon,Issu-arik
PN,šu-ku-bu-um,40,32,lexicon,Šu-Kūbu
PN,en-um-a-šur-ma,39,37,lexicon; onomasticon,Ennam-Aššur
PN,a-šùr-ta-ak-lá-ku,39,34,lexicon; onomasticon,Aššur-taklaku; Aššur-taklāku
PN,a-mur-{d}utu,39,33,lexicon; onomasticon,Amur-Šamaš
PN,šé-ep-ištar,39,32,lexicon; onomasticon,Šēp-Ištar
PN,šu-nu-nu,38,26,lexicon; onomasticon,Šu-Nunu
PN,šu-a-nim,38,37,lexicon,Šu-Anu
PN,{d}mar.tu-ba-ni,38,33,lexicon; onomasticon,Amurrum-bāni; Amurrum-bānī
PN,a-al-du10,38,21,lexicon; onomasticon,Al-ṭab; Al-ṭāb; Āl-ṭāb
PN,a-šùr-lá-ma-sí,38,29,lexicon; onomasticon,Aššur-lamassī
PN,i-dí-sú-in,38,28,onomasticon,Idi-Suin; Idi-suin
PN,i-dí-su-in,38,28,onomasticon,Idi-Suin; Idi-suin
PN,du10-ṣí-lá-a-šùr,37,33,lexicon; onomasticon,Ṭāb-ṣill-Aššur
PN,puzur4-a-na,36,31,lexicon; onomasticon,Puzur-Anna
PN,šu-ku-bi4-im,35,28,lexicon,Šu-Kūbu
PN,šu-sú-in,35,28,lexicon; onomasticon,Šu-Suen
PN,da-dí-a,35,33,lexicon; onomasticon,Dadia; Dādia
PN,ú-zu-a,35,31,lexicon; onomasticon,Uzua
PN,a-šur-sipa,35,31,lexicon,Aššur-rē'ī
PN,ma-nu-ki-a-šùr,34,23,lexicon; onomasticon,Mannum-kī-Aššur
PN,a-šur-be-el-a-wa-tim,34,30,lexicon,Aššur-bēl-awāti
PN,šu-ki-tim,34,24,lexicon,Šukkatu
PN,i-dí-a-bu-um,33,28,lexicon,Iddin-abu
PN,a-ni-na,33,25,lexicon,Anninaya
PN,sú-kà-li-a,33,30,lexicon; onomasticon,Sukkallia; Sukkalliā
PN,sú-kà-lí-a,33,30,lexicon; onomasticon,Sukkallia; Sukkalliā
PN,a-šùr-{d}utu-ši,32,26,lexicon; onomasticon,Aššur-šamši; Aššur-šamšī
PN,ah-ša-lim,32,24,lexicon,Aḫ-šali
PN,ir-ma-a-šur,32,26,lexicon; onomasticon,Irma-Aššur
PN,ir-ma-a-šùr,32,26,lexicon; onomasticon,Irma-Aššur
PN,a-ta-a,31,23,lexicon,Attā
PN,i-ku-nim,31,29,lexicon,Ikūnu
PN,ú-ṣú-ur-ša-a-šùr,31,19,lexicon; onomasticon,Uṣur-ša-Aššur
PN,lu-lu,31,24,lexicon; onomasticon,Lulu
PN,šu-be-lúm,31,23,lexicon,Šu-Bēlu
PN,a-šur-ba-ni,30,28,lexicon; onomasticon,Aššur-bāni; Aššur-bānī
PN,en-um-a-šùr-ma,30,29,lexicon; onomasticon,Ennam-Aššur
PN,a-šur-iš-ti-kál,29,25,lexicon; onomasticon,Aššuriš-tikal
PN,a-šur-iš-tí-kál,29,25,lexicon; onomasticon,Aššuriš-tikal
PN,a-šùr-iš-tí-kál,29,25,lexicon; onomasticon,Aššuriš-tikal
PN,a-šùr-iš-ti-kál,29,25,lexicon; onomasticon,Aššuriš-tikal
PN,a-šur-ìš-tí-kál,29,25,lexicon; onomasticon,Aššuriš-tikal
PN,a-mur-ištar-ma,29,18,lexicon; onomasticon,Amur-Ištar
PN,a-šur-ta-ak-lá-ku,28,24,lexicon; onomasticon,Aššur-taklaku; Aššur-taklāku
PN,sig5-pí-a-šur,28,20,lexicon; onomasticon,Damiq-pi-Aššur; Damiq-pī-Aššur
PN,pu-šu-ki-in,28,20,lexicon; onomasticon,Pūšu-kēn
PN,a-šùr-gal,28,21,lexicon; onomasticon,Aššur-rabi
PN,a-lu-lá-a,28,21,lexicon,Alulā
PN,a-šùr-ták-lá-ku,28,19,lexicon; onomasticon,Aššur-taklaku; Aššur-taklāku
PN,šu-hu-bur,28,21,lexicon; onomasticon,Šu-Hubur; Šu-Ḫubur
PN,a-ku-za,28,28,lexicon,Aguza
PN,du10-ṣí-lá-a-šur,27,24,lexicon; onomasticon,Ṭāb-ṣill-Aššur
PN,ma-nu-ki-a-šur,26,21,lexicon; onomasticon,Mannum-kī-Aššur
PN,i-na-ah-dingir,26,22,lexicon; onomasticon,Inah-ilī; Inaḫ-ilī
PN,a-lá-hu-um-ma,26,25,lexicon,Ali-aḫu
PN,ú-ṣú-ur-ša-a-šur,26,16,lexicon; onomasticon,Uṣur-ša-Aššur
PN,i-na-a,26,22,lexicon,Innā
PN,a-šùr-dan,26,24,lexicon; onomasticon,Aššur-dan; Aššur-dān
PN,ku-ra,26,21,lexicon; onomasticon,Kura; Kurā
PN,ú-ší-na-lam,25,17,lexicon,Ušinalu
PN,{d}utu-ba-ni,25,20,lexicon; onomasticon,Šamaš-bāni; Šamaš-bānī
PN,id-na-a,24,21,lexicon,Iddinā
PN,i-ku-pì-a,23,21,lexicon; onomasticon,Ikūn-pīa
PN,a-ba-ba,23,21,lexicon; onomasticon,Ababa
PN,a-šùr-na-da,22,19,lexicon; onomasticon,Aššur-nādā
PN,a-tá-tá,22,22,lexicon; onomasticon,Adadā
PN,a-ta-ta,22,22,lexicon; onomasticon,Adadā
PN,a-tá-ta,22,22,lexicon; onomasticon,Adadā
PN,zu-ku-a,22,22,lexicon; onomasticon,Zukua
PN,a-šur-lá-ma-sí,22,18,lexicon; onomasticon,Aššur-lamassī
PN,ha-nu,22,12,lexicon; onomasticon,Hanu; Ḫanu; Ḫānu
PN,ša-li-a,22,17,lexicon; onomasticon,Šalia
PN,sá-li-a,22,17,lexicon; onomasticon,Sallia; Salliā
PN,sà-li-a,22,17,lexicon; onomasticon,Sallia; Salliā
PN,i-dí-ištar,22,20,onomasticon,Idi-ištar
PN,ú-ra-a,21,20,lexicon,Urā
PN,ša-lim-be-lí,21,15,lexicon; onomasticon,Šalim-bēlī
PN,i-na-sú-in,21,14,lexicon,Ennam-Suen
PN,zu-ba,21,18,lexicon; onomasticon,Zuba
PN,lá-ma-sí,21,19,lexicon; onomasticon,Lamassī
PN,a-lá-bi4-im,21,16,lexicon,Ali-abu
PN,ṣí-lu-lu,20,19,lexicon; onomasticon,Ṣilulu; Ṣilūlu
PN,ša-lim-a-šur-ma,20,18,lexicon; onomasticon,Šalim-Aššur
PN,a-šùr-e-mu-qí,20,18,lexicon; onomasticon,Aššur-emūqī
PN,en-na-num,20,15,lexicon,Ennānu
PN,e-na-ah-dingir,20,18,lexicon; onomasticon,Inah-ilī; Inaḫ-ilī
PN,ma-na-na,20,18,lexicon; onomasticon,Manana
PN,šu-la-ba-an,20,12,lexicon; onomasticon,Šu-Laban; Šu-Labān
PN,a-hu-wa-qar,20,19,lexicon; onomasticon,Ahu-waqar; Aḫu-waqar
PN,ku-ni-lim,20,11,lexicon,Kunilu
PN,púzur-a-šur,19,14,lexicon; onomasticon,Puzur-Aššur
PN,púzur-a-šùr,19,14,lexicon; onomasticon,Puzur-Aššur
PN,puzur4-a-šur-ma,19,18,lexicon; onomasticon,Puzur-Aššur
PN,a-zu,19,17,lexicon; onomasticon,Azu
PN,a-na-ah-ì-lí,19,10,lexicon; onomasticon,Anah-ili; Anaḫ-ilī
PN,a-na-ah-ì-li,19,10,lexicon; onomasticon,Anah-ili; Anaḫ-ilī
PN,na-áb-sú-in,19,18,lexicon; onomasticon,Nabi-Suen
PN,a-šur-dan,19,17,lexicon; onomasticon,Aššur-dan; Aššur-dān
PN,i-ku-pí-a-šùr,19,18,lexicon; onomasticon,Ikūn-pī-Aššur
PN,i-ku-pì-a-šur,19,18,lexicon; onomasticon,Ikūn-pī-Aššur
PN,i-ku-pí-a-šur,19,18,lexicon; onomasticon,Ikūn-pī-Aššur
PN,i-ku-pì-a-šùr,19,18,lexicon; onomasticon,Ikūn-pī-Aššur
PN,a-la-bi-im,19,16,lexicon,Ali-abu
PN,a-lá-bi-im,19,16,lexicon,Ali-abu
PN,en-na-sú-in-ma,19,13,lexicon,Ennam-Suen
PN,ša-lim-ar-dí,18,13,lexicon; onomasticon,Šalim-wardī
PN,a-na-na,18,14,lexicon,Anna-anna
PN,šu-lá-ba-an,18,10,lexicon; onomasticon,Šu-Laban; Šu-Labān
PN,šu-ha-ri-im,18,16,lexicon,Šu-Ḫaru
PN,am-ri-a,17,17,onomasticon,Amriya
PN,i-sú-ri-ik,17,15,onomasticon,Issurik
PN,bi,17,17,onomasticon,Bizia
PN,šu-ištar-ma,17,16,lexicon; onomasticon,Šu-Ištar
PN,mar.tu-ba-ni,17,16,lexicon; onomasticon,Amurrum-bāni; Amurrum-bānī
PN,ì-lí-a-lim,17,14,lexicon,Ilī-ālu
PN,šu-lí,17,9,lexicon; onomasticon,Šuli
PN,šu-li,17,9,lexicon; onomasticon,Šuli
PN,a-šùr-re-ṣí,17,14,lexicon; onomasticon,Aššur-rēṣī
PN,a-šur-re-ṣí,17,14,lexicon; onomasticon,Aššur-rēṣī
PN,dingir-ba-ni,17,14,lexicon; onomasticon,Ilī-bāni; Ilī-bānī
PN,ú-ku,16,10,lexicon; onomasticon,Ukua
PN,šu-be-lúm-ma,16,11,lexicon,Šu-Bēlu
PN,a-hu-qar,16,13,lexicon; onomasticon,Ahu-waqar; Aḫu-waqar
PN,ú-ṣur-ša-a-šur,16,13,lexicon; onomasticon,Uṣur-ša-Aššur
PN,be-lá-nim,16,15,lexicon,Bēlānu
PN,i-ri-šum,16,14,lexicon,Erišu
PN,lá-qé-pí-im,16,15,lexicon,Lā-qēpu
PN,a-lu-a,16,14,lexicon; onomasticon,Alua
PN,ṣí-li-a,16,11,lexicon; onomasticon,Ṣillia; Ṣilliā
PN,lá-qé-pì-im,16,12,lexicon,Lā-qēpu
PN,ša-lim-wa-ar-dí,15,14,lexicon; onomasticon,Šalim-wardī
PN,a-šur-gal,15,12,lexicon; onomasticon,Aššur-rabi
PN,la-qé-ep,15,13,lexicon,Lā-qēpu
PN,šu-bé-lim,15,15,lexicon,Šu-Bēlu
PN,da-da-a,15,11,onomasticon,Dada’a
PN,áb-ša-lim,15,7,lexicon,Abum-šali
PN,e-na-a-šur,15,10,lexicon; onomasticon,Ennam-Aššur
PN,a-šùr-e-nam,15,10,lexicon,Aššur-enna
PN,šu-ta-mu-zi,14,12,lexicon; onomasticon,Šu-Tammuzi
PN,{d}en.líl-ba-ni,14,12,lexicon; onomasticon,Enlil-bāni; Enlil-bānī
PN,ba-zi-a,14,14,lexicon; onomasticon,Bazia; Baziā
PN,ku-da-tim,14,13,lexicon,Kudātu
PN,bu-zu-ta-a,14,12,lexicon,Buzutā
PN,e-lá-ma-ma,14,9,lexicon; onomasticon,Elamma
PN,i-ri-ší-im,14,11,lexicon,Erišu
PN,e-lá-a,13,12,lexicon,Elāya
PN,a-lá-ha-am,13,12,lexicon,Ali-aḫu
PN,a-šur-ták-lá-ku,13,11,lexicon; onomasticon,Aššur-taklaku; Aššur-taklāku
PN,a-da-da,13,11,lexicon; onomasticon,Adadā
PN,a-dá-da,13,11,lexicon; onomasticon,Adadā
PN,en-nam-a-šur-ma,13,13,lexicon; onomasticon,Ennam-Aššur
PN,šu-bé-lúm,13,8,lexicon,Šu-Bēlu
PN,zu-ku-a-ma,13,13,lexicon; onomasticon,Zukua
PN,sig5-pí-a-šur-ma,13,13,lexicon; onomasticon,Damiq-pi-Aššur; Damiq-pī-Aššur
PN,ku-lu-ma-a,13,10,lexicon,Kulumā
PN,a-li-li,12,10,lexicon,Āl-ilī
PN,i-ku-pí-a-ma,12,11,lexicon; onomasticon,Ikūn-pīa
PN,sú-in-na-da,12,9,lexicon; onomasticon,Suen-nādā
PN,um-mì-iš-ha-ra,12,8,lexicon; onomasticon,Ummī-Išhara; Ummī-Išḫara
PN,um,12,12,lexicon,Amurru
PN,a-bi-a-a,12,11,lexicon,Abiā
PN,a-ta-a-a,12,9,lexicon,Attā
PN,lá-ma-sà-tum,12,11,lexicon,Lamassatu
PN,a-mur-dingir,12,9,lexicon; onomasticon,Amur-ilī
PN,bé-lá-num,12,11,lexicon,Bēlānu
PN,be-lá-num,12,11,lexicon,Bēlānu
PN,da-da-nim,12,11,lexicon,Dadānu
PN,a-na-a-na,12,9,lexicon,Anna-anna
PN,ma-nu-ki-ì-lí-a,12,5,lexicon; onomasticon,Mannum-kī-ilia
PN,man-a-šur,11,9,lexicon; onomasticon,Puzur-Aššur
PN,a-sà-nim,11,9,lexicon,Asānu
PN,a-šur-ṣú-lu-lí,11,10,lexicon; onomasticon,Aššur-ṣulūlī
PN,a-šùr-ṣú-lu-li,11,10,lexicon; onomasticon,Aššur-ṣulūlī
PN,a-šur-ṣú-lu-li,11,10,lexicon; onomasticon,Aššur-ṣulūlī
PN,ku-ku-wa,11,9,lexicon; onomasticon,Kukua
PN,ku-ra-ra,11,10,lexicon; onomasticon,Kurara
PN,ma-ma-hi-ir-ma,11,11,lexicon; onomasticon,Man-maḫir; Man-māhir
PN,kà-ri-a,11,10,lexicon,Qarwiā
PN,ib-ni-{d}im,11,7,lexicon; onomasticon,Ibni-Adad
PN,e-wa-ri-mu-ša,11,10,lexicon,Evri-muža
PN,dingir-na-da,11,10,lexicon; onomasticon,Ilī-nādā
PN,lugal-sú-in,11,9,lexicon,Šar-Suen
PN,lu-zi-na,11,10,lexicon; onomasticon,Luzina
PN,lú-zi-na,11,10,lexicon; onomasticon,Luzina
PN,ì-lí-áš-ra-ni,11,9,lexicon; onomasticon,Ilī-ašranni
PN,a-ni-nim,11,11,lexicon,Anninu
PN,a-gi-a,11,8,lexicon,Agiā
PN,ha-na-a,11,9,lexicon; onomasticon,Hanaya; Ḫanaya
PN,ištar-pá-li-il5,11,5,lexicon; onomasticon,Ištar-pālil
PN,{d}im-ba-ni,11,11,lexicon; onomasticon,Adad-bani; Adad-bāni; Adad-bānī
PN,i-ku-pì-a-ma,10,10,lexicon; onomasticon,Ikūn-pīa
PN,a-šùr-ni-im-ri,10,10,lexicon; onomasticon,Aššur-nimrī
PN,dam-qá-a,10,7,lexicon,Damqā
PN,ha-na-na,10,3,lexicon; onomasticon,Hanana; Ḫanana
PN,ša-lim-a-hi-im,10,10,onomasticon,Šalim-ahum
PN,a-šùr-<gap>,10,9,onomasticon,Aššur-<gap>
PN,a-šur-<gap>,10,9,onomasticon,Aššur-<gap>
PN,ha-nu-nu,10,10,lexicon,Ḫanunum
PN,ú-ṣú-ra-nim,10,9,lexicon,Uṣur-Anu
PN,ku-ku-lá-nim,10,10,lexicon,Kukurānu
PN,ì-lí-iš-tí-kál,10,8,lexicon; onomasticon,Iliš-tikal
PN,i-dí-ba-ni,10,7,lexicon; onomasticon,Idi-bani; Idi-bāni; Idi-bānī
PN,a-šur-e-nam,10,8,lexicon,Aššur-enna
PN,ma-ṣí-ì-lí,10,10,lexicon; onomasticon,Maṣi-ili; Maṣi-ilī
PN,ma-num-ba-lúm-a-šùr,10,10,lexicon; onomasticon,Mannum-balum-Aššur; Mannum-bālum-Aššur
PN,lá-ma-sà-tim,10,9,lexicon,Lamassatu
PN,im-dí-dingir,10,8,lexicon,Imdī-ilu
PN,e-na-sú-in,9,8,lexicon,Ennam-Suen
PN,du-dí-ki,9,9,lexicon; onomasticon,Dudiki
PN,li-ba-a,9,9,lexicon,Libbā
PN,šu-da-a,9,9,lexicon,Šudā
PN,i-lá-áš-ra-ni,9,8,lexicon; onomasticon,Ilī-ašranni
PN,tù-um-li-a-i-im,9,9,lexicon,Tumli’ā’u
PN,e-dí-na-a,9,9,lexicon,Iddinā
PN,da-da,9,9,onomasticon,Dadaya
PN,ša-lim-ma,9,5,lexicon; onomasticon,Salimma; Šalimma
PN,ib-ni-lí,9,9,lexicon; onomasticon,Ibni-ili; Ibni-ilī
PN,{d}ab-ba-ni,9,9,lexicon; onomasticon,Enlil-bāni; Enlil-bānī
PN,šu-iš-ha-ra,9,7,lexicon; onomasticon,Šu-Išhara; Šu-Išḫara
PN,ì-lí-ba-ni,9,7,lexicon; onomasticon,Ilī-bāni; Ilī-bānī
PN,lá-qé-pu-um,9,8,lexicon,Lā-qēpu
PN,en-na-sú-en6,9,8,lexicon,Ennam-Suen
PN,e-la-ma-ma,9,9,lexicon; onomasticon,Elamma
PN,a-mur-ša-ra-sà,9,6,lexicon; onomasticon,Amur-šarrassa
PN,a-bu-a,9,7,lexicon; onomasticon,Abua
PN,lu-zi,9,7,lexicon; onomasticon,Luzi
PN,šu-zu-zu,9,8,lexicon; onomasticon,Šuzuzu
PN,i-ba-a,9,8,lexicon,Ibā
PN,gal-da-a,9,5,lexicon,Galdā
PN,ni-mar-ištar,9,9,lexicon; onomasticon,Nimar-Ištar
PN,ku-ku-a,9,8,lexicon; onomasticon,Kukua
PN,bé-lúm-ba-ni,9,6,lexicon; onomasticon,Belum-bani; Bēlum-bāni; Bēlum-bānī
PN,lugal-{d}im,9,7,lexicon; onomasticon,Šarrum-Adad
PN,al-pì-lí,8,4,lexicon,Alpum-ilī
PN,al-pì-li,8,4,lexicon,Alpum-ilī
PN,ištar-pí-lá-ah,8,6,lexicon; onomasticon,Ištar-pilah; Ištar-pilaḫ
PN,ištar-pì-lá-ah,8,6,lexicon; onomasticon,Ištar-pilah; Ištar-pilaḫ
PN,a-šùr-pí-lá-ah,8,6,lexicon; onomasticon,Aššur-pilah; Aššur-pilaḫ
PN,a-šùr-pì-lá-ah,8,6,lexicon; onomasticon,Aššur-pilah; Aššur-pilaḫ
PN,a-la-bu-um,8,6,lexicon,Ali-abu
PN,a-lá-bu-um,8,6,lexicon,Ali-abu
PN,i-ba-a-a,8,5,lexicon,Ibā
PN,ku-ta-a,8,8,lexicon,Kudā
PN,ú-ṣur-ša-ištar,8,6,lexicon; onomasticon,Uṣur-ša-Ištar
PN,{d}im.gal,8,8,lexicon; onomasticon,Adad-rabi
PN,im-dí-lim,8,4,lexicon,Imdī-ilu
PN,a-šur-mu-ta-pì-il5,8,7,lexicon,Aššur-muttabbil
PN,a-mur-a-šur-ma,8,5,lexicon; onomasticon,Amur-Aššur
PN,zi-ki-ki,8,4,lexicon,Zigigi
PN,pé-ru-wa,8,7,lexicon,Peruwa
PN,pè-ru-wa,8,7,lexicon,Peruwa
PN,a-ki-a,8,4,lexicon,Agiā
PN,dingir-kur-ub,8,5,lexicon; onomasticon,Ilī-kurub
PN,puzur4-sú-in,8,7,lexicon; onomasticon,Puzur-Suen
PN,sá-da-a,8,6,lexicon,Sadā
PN,šu-ma-li-ba-a-šur,8,7,lexicon; onomasticon,Šumma-libbi-Aššur
PN,bu-zu-a,8,4,lexicon; onomasticon,Buzua
PN,a-šur-e-mu-qí,8,8,lexicon; onomasticon,Aššur-emūqī
PN,pu-šu-ke-en6,8,8,lexicon; onomasticon,Pūšu-kēn
PN,i-ku-pí-ištar,8,7,lexicon; onomasticon,Ikūn-pī-Ištar
PN,kà-áp-sí-a,8,2,lexicon,Kapazia
PN,puzur4-ša-du-e,8,8,lexicon; onomasticon,Puzur-Šadue; Puzur-šaduē
PN,a-zu-ú,7,7,lexicon; onomasticon,Azu
PN,i-tur4-dingir-ma,7,7,lexicon; onomasticon,Itūr-ilī
PN,i-dí-a-bu-um-ma,7,7,lexicon,Iddin-abu
PN,a-lá-hi-im-ma,7,7,lexicon,Ali-aḫu
PN,ku-zi-zi-a-ma,7,7,lexicon; onomasticon,Kuzizia; Kuziziā
PN,bu-ur-sú-in,7,3,lexicon; onomasticon,Būr-Suen
PN,hu-ra-ṣa-nim,7,6,lexicon,Ḫuraṣānu
PN,a-na-ah-dingir,7,6,lexicon; onomasticon,Anah-ili; Anaḫ-ilī
PN,ku-bi-a,7,6,lexicon; onomasticon,Kubia; Kūbiā
PN,ì-lí-e-mu-qí,7,6,lexicon; onomasticon,Ilī-emūqī
PN,a-šùr-{d}utu,7,5,onomasticon,Aššur-{d}UTU-ši
PN,a-šur-ma-sú-i,7,6,lexicon; onomasticon,Aššur-massu'ī
PN,a-šur-ni-im-ri,7,7,lexicon; onomasticon,Aššur-nimrī
PN,sig5-pì-a-šur-ma,7,7,lexicon; onomasticon,Damiq-pi-Aššur; Damiq-pī-Aššur
PN,a-ba-a,7,4,lexicon; onomasticon,Aba; Abā
PN,{d}im-pì-lá-ah,7,7,lexicon; onomasticon,Adad-pilah; Adad-pilaḫ
PN,{d}nin.šubur-ba-ni,7,5,lexicon; onomasticon,Ilabrat-bāni; Ilabrat-bānī
PN,sà-ba-sí-a,7,7,lexicon; onomasticon,Sabasia; Sabasiā
PN,sá-ba-sí-a,7,7,lexicon; onomasticon,Sabasia; Sabasiā
PN,puzur4-a-be-eh,7,5,lexicon; onomasticon,Puzur-Abih; Puzur-Abiḫ
PN,i-dí-sú-en6,7,7,onomasticon,Idi-Suen; Idi-suen
PN,na-ra-am-zu,7,7,lexicon,Nar'am-Suen
PN,ì-lí-a-lúm,7,7,lexicon,Ilī-ālu
PN,a-šur-ni-šu,7,7,lexicon; onomasticon,Aššur-nīšu
PN,ku-lá,7,5,onomasticon,Kulla
PN,wa-al-dí-dingir,7,7,lexicon; onomasticon,Walad-ilī
PN,en-nam-a-šùr-ma,7,5,lexicon; onomasticon,Ennam-Aššur
PN,puzur4-tí-a-am-tim,7,7,lexicon,Puzur-Ti'amtu
PN,en-na-ma-nim,7,7,lexicon,Ennamānu
PN,{d}utu,7,6,lexicon; onomasticon,Dudu
PN,a-nu-pí-a,7,6,lexicon,Annu-pīa
PN,da-ra-áš,7,2,lexicon; onomasticon,Daraš
PN,púzur.ištar,7,7,lexicon; onomasticon,Puzur-Ištar
PN,e-ri-ší-im,7,5,lexicon,Erišu
PN,pí-lá-ah-a-šùr,7,6,lexicon; onomasticon,Pilah-Aššur; Pilaḫ-Aššur
PN,pí-lá-ah-a-šur,7,6,lexicon; onomasticon,Pilah-Aššur; Pilaḫ-Aššur
PN,me-na-a,7,7,lexicon,Minā
PN,du10-a-šur,7,7,lexicon; onomasticon,Ṭab-Aššur; Ṭāb-Aššur
